class,precision,recall,f1-score,support
that,0.8235294117647058,0.7368421052631579,0.7777777777777778,38.0
there,0.7916666666666666,0.5277777777777778,0.6333333333333333,36.0
think,0.918918918918919,0.8717948717948718,0.8947368421052632,39.0
thirsty,0.7906976744186046,0.9444444444444444,0.8607594936708861,36.0
tiger,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
time,0.6829268292682927,0.7567567567567568,0.717948717948718,37.0
tomorrow,0.8809523809523809,0.9487179487179487,0.9135802469135802,39.0
tongue,0.8787878787878788,0.8055555555555556,0.8405797101449275,36.0
tooth,0.6888888888888889,0.7948717948717948,0.7380952380952381,39.0
toothbrush,0.8421052631578947,0.8205128205128205,0.8311688311688312,39.0
touch,0.9032258064516129,0.7567567567567568,0.8235294117647058,37.0
toy,0.9354838709677419,0.7837837837837838,0.8529411764705882,37.0
tree,0.8181818181818182,0.7105263157894737,0.7605633802816901,38.0
uncle,1.0,0.95,0.9743589743589743,40.0
underwear,0.8181818181818182,0.7297297297297297,0.7714285714285715,37.0
up,0.8947368421052632,0.8717948717948718,0.8831168831168831,39.0
vacuum,0.5405405405405406,0.6451612903225806,0.5882352941176471,31.0
wait,0.575,0.6571428571428571,0.6133333333333333,35.0
wake,0.46153846153846156,0.45,0.45569620253164556,40.0
water,0.9428571428571428,0.8461538461538461,0.8918918918918919,39.0
wet,0.7575757575757576,0.6944444444444444,0.7246376811594203,36.0
weus,0.8108108108108109,0.8108108108108109,0.8108108108108109,37.0
where,0.9142857142857143,0.8648648648648649,0.8888888888888888,37.0
white,0.8888888888888888,0.8648648648648649,0.8767123287671232,37.0
who,1.0,0.8048780487804879,0.8918918918918919,41.0
why,0.9411764705882353,0.9142857142857143,0.927536231884058,35.0
will,0.7878787878787878,0.7027027027027027,0.7428571428571429,37.0
wolf,0.8333333333333334,0.9210526315789473,0.875,38.0
yellow,0.9166666666666666,0.868421052631579,0.8918918918918919,38.0
yes,0.6829268292682927,0.7368421052631579,0.7088607594936709,38.0
yesterday,0.9,0.9,0.9,40.0
yourself,0.8717948717948718,0.8717948717948718,0.8717948717948718,39.0
yucky,0.7380952380952381,0.8378378378378378,0.7848101265822784,37.0
zebra,0.8604651162790697,0.9736842105263158,0.9135802469135802,38.0
zipper,0.6216216216216216,0.7666666666666667,0.6865671641791045,30.0
macro avg,0.8185599567852943,0.814439467166495,0.8135919564674085,9344.0
weighted avg,0.8211113118011306,0.8159246575342466,0.8156774013179302,9344.0
